B-V;Lum;GrpName
0.022;17.19;Blanco 1
0.107;9.39;Blanco 1
0.318;2.79;Blanco 1
0.007;17.43;Blanco 1
0.081;10.33;Blanco 1
-0.085;88.03;Blanco 1
-0.058;41.65;Blanco 1
0.002;20.36;Blanco 1
0.036;19.57;Blanco 1
0.666;0.73;Tucana / Horologium
0.353;3.84;Blanco 1
0.595;1.39;Tucana / Horologium
-0.03;31.55;Blanco 1
0.752;0.69;Beta Pictoris
0.402;2.69;Blanco 1
0.061;12.77;Blanco 1
0.306;4.23;Blanco 1
-0.038;146.79;AB Doradus
0.127;15.74;Blanco 1
0.743;0.61;Tucana / Horologium
0.537;1.57;Tucana / Horologium
1.39;0.15;Tucana / Horologium
1.35;0.12;Tucana / Horologium
-0.064;39.35;Tucana / Horologium
0.147;32.6;Tucana / Horologium
0.038;17.97;Tucana / Horologium
1.05;0.37;Tucana / Horologium
0.539;2.05;Tucana / Horologium
1.48;0.06;Tucana / Horologium
0.972;14.84;Platais 2
0.16;11.75;Platais 2
0.203;7.54;Platais 2
0.039;45.71;Platais 2
-0.144;163.66;Platais 2
0.421;19.29;Platais 2
0.185;12.29;Platais 2
0.791;0.51;AB Doradus
0.705;0.91;Tucana / Horologium
0.656;0.91;Tucana / Horologium
0.951;0.27;Tucana / Horologium
0.71;1.04;Hyades
0.797;0.52;Beta Pictoris
-0.158;2858.39;Tucana / Horologium
0.395;5.07;Beta Pictoris, Tucana / Horologium
0.366;4.58;Tucana / Horologium
0.651;0.92;Tucana / Horologium
0.207;33.46;Stock 2
0.386;5.31;Tucana / Horologium
1.4;76.75;Stock 2
0.701;0.87;Tucana / Horologium
0.544;1.71;Tucana / Horologium
0.677;1.07;Hyades
0.376;20.91;Stock 2
1.172;119.64;Stock 2
0.43;25.2;Stock 2
0.124;26.84;Stock 2
-0.12;143.91;Tucana / Horologium
0.622;0.77;Beta Pictoris
0.518;2.09;Beta Pictoris
0.275;35.18;Stock 2
0.182;41.46;Stock 2
1.209;137.99;Stock 2
0.364;5.1;Tucana / Horologium
0.608;3.66;Beta Pictoris
0.172;18.15;Stock 2
0.012;70.24;Stock 2
0.214;108.82;Stock 2
1.205;0.24;Beta Pictoris
0.43;174.97;Stock 7
0.635;155.41;Stock 7
0.381;22.97;Stock 7
0.362;103.81;Stock 7
0.944;0.38;Hyades
-0.061;62.05;Tucana / Horologium
0.061;17.44;Tucana / Horologium
0.551;1.82;Tucana / Horologium
1.269;0.15;Beta Pictoris
